iter	Logloss
0	0.692878429
1	0.6926060267
2	0.6923354592
3	0.6920743215
4	0.6918123107
5	0.6916011531
6	0.6913180071
7	0.6910614643
8	0.6908965782
9	0.690650419
10	0.6904930928
11	0.6903326263
12	0.690098883
13	0.6899731444
14	0.6897455877
15	0.6895164934
16	0.6892860819
17	0.6891388625
18	0.6888682028
19	0.6886494382
20	0.6884713149
21	0.688255147
22	0.6880464912
23	0.687905793
24	0.6877008925
25	0.6874664758
26	0.6872574989
27	0.6870603918
28	0.6868613539
29	0.6866521375
30	0.6864254665
31	0.6863058574
32	0.6861842139
33	0.6860003035
34	0.6860011345
35	0.6857969551
36	0.685606409
37	0.6854894034
38	0.6853773685
39	0.6851915136
40	0.685078268
41	0.684968113
42	0.6847843133
43	0.6845797434
44	0.6844767053
45	0.68431131
46	0.6841472914
47	0.6839885751
48	0.6838922766
49	0.6837322407
50	0.6836358944
51	0.6835391556
52	0.6833880619
53	0.6832317876
54	0.6830861622
55	0.6829293977
56	0.6829291759
57	0.6827564205
58	0.6826384655
59	0.6824947846
60	0.6823515458
61	0.6823515469
62	0.6822129479
63	0.682075892
64	0.6820756193
65	0.6819360323
66	0.6818524454
67	0.681719485
68	0.6816406997
69	0.6815047612
70	0.6813810137
71	0.6812534693
72	0.6810952658
73	0.6810926126
74	0.6810204562
75	0.6808949005
76	0.6807671731
77	0.6806272584
78	0.680510479
79	0.6804995956
80	0.6803850313
81	0.6802684259
82	0.680153198
83	0.6801523702
84	0.6800471829
85	0.6799760895
86	0.6799764221
87	0.6799150932
88	0.6797691093
89	0.6796605211
90	0.6795412034
91	0.679435925
92	0.6793729527
93	0.679360746
94	0.6792638544
95	0.6791498374
96	0.6790507434
97	0.6789533677
98	0.6789539724
99	0.6789509911
100	0.6788918868
101	0.6787535129
102	0.678657903
103	0.6786047585
104	0.6785508919
105	0.678549624
106	0.6784600857
107	0.6784580996
108	0.6783370976
109	0.6782853374
110	0.6782008209
111	0.6780821901
112	0.6779888622
113	0.6779377681
114	0.6778892147
115	0.6778423158
116	0.6778423162
117	0.6777563276
118	0.677708168
119	0.6776283586
120	0.6775433171
121	0.677423183
122	0.6774247874
123	0.6773796557
124	0.6772902306
125	0.6772802956
126	0.6772534342
127	0.6771405104
128	0.6770976516
129	0.6770558396
130	0.6769860808
131	0.6769114163
132	0.676869612
133	0.6768291863
134	0.6768342008
135	0.6767596063
136	0.6767162065
137	0.6766508714
138	0.6766260053
139	0.6766240165
140	0.6765261709
141	0.6765250138
142	0.6764524121
143	0.6764526894
144	0.6763722348
145	0.6762832271
146	0.6762454644
147	0.6761707515
148	0.6760796524
149	0.6760444244
150	0.675979727
151	0.6758756456
152	0.6758756456
153	0.6758136525
154	0.6757785414
155	0.6756897124
156	0.675631738
157	0.675631738
158	0.6755750333
159	0.6755220283
160	0.6754592782
161	0.6754592782
162	0.6754116965
163	0.6753864079
164	0.6753074201
165	0.675248245
166	0.6752222463
167	0.675136894
168	0.6750841799
169	0.6750280054
170	0.6750278395
171	0.6750018871
172	0.674934587
173	0.6749106922
174	0.6748281627
175	0.6748107203
176	0.6748107203
177	0.674767278
178	0.6747624263
179	0.674762371
180	0.6747134693
181	0.6746961865
182	0.6746785809
183	0.674677258
184	0.6746266614
185	0.6745777098
186	0.6745201442
187	0.6744933878
188	0.6744530961
189	0.674451828
190	0.6744032299
191	0.6743937469
192	0.6743367427
193	0.6743129636
194	0.6742598805
195	0.6741826621
196	0.6741597225
197	0.6741404685
198	0.6741188523
199	0.6740955754
200	0.6740525596
201	0.6740120297
202	0.6739650027
203	0.6739196764
204	0.6739041296
205	0.6738594062
206	0.673822671
207	0.6737995603
208	0.6737998936
209	0.6737992308
210	0.6737638189
211	0.673762107
212	0.673762107
213	0.673762107
214	0.673762107
215	0.6737297328
216	0.6737120348
217	0.673674477
218	0.6736659375
219	0.6736550761
220	0.6736519935
221	0.6736309366
222	0.6736342957
223	0.6735963197
224	0.6735621289
225	0.6735492781
226	0.6735493338
227	0.6735493891
228	0.6734894333
229	0.6734737879
230	0.6734546021
231	0.6734525034
232	0.6734183893
233	0.6733999362
234	0.6733379444
235	0.67332406
236	0.6732864732
237	0.6732699482
238	0.6732358963
239	0.6732090001
240	0.673196727
241	0.6731856474
242	0.6731831058
243	0.6731449027
244	0.6731093129
245	0.6730832049
246	0.6730548927
247	0.6730398655
248	0.6730261626
249	0.673000819
250	0.6729992181
251	0.6729491647
252	0.6728920496
253	0.6728641188
254	0.6728419741
255	0.6728398763
256	0.6728418128
257	0.6727772299
258	0.672776847
259	0.6727770154
260	0.6727523555
261	0.6726947526
262	0.6726947526
263	0.6726487981
264	0.6726487981
265	0.6726327191
266	0.6726222783
267	0.6726122224
268	0.6725826665
269	0.6725579021
270	0.6725217102
271	0.6725196115
272	0.6725192804
273	0.6725131999
274	0.6725015707
275	0.6724960623
276	0.672493964
277	0.672444699
278	0.6724240167
279	0.6723985445
280	0.6723522626
281	0.6723206516
282	0.6722975527
283	0.6722951223
284	0.6722729446
285	0.6722444631
286	0.672242641
287	0.6722428075
288	0.6722387779
289	0.6722274103
290	0.6722250356
291	0.6722212753
292	0.6722190114
293	0.6721954238
294	0.6721915506
295	0.6721478172
296	0.6721392648
297	0.6721312086
298	0.6721099764
299	0.6721069025
300	0.6720602879
301	0.6720578575
302	0.6720317565
303	0.672022109
304	0.6719985289
305	0.6720009617
306	0.6719689028
307	0.6719632864
308	0.6719237052
309	0.6719173698
310	0.6718969349
311	0.6718837066
312	0.6718673972
313	0.6718250081
314	0.6718198821
315	0.6718118979
316	0.671791141
317	0.6717670307
318	0.6717614201
319	0.6717345054
320	0.6717156805
321	0.6716983824
322	0.6716811024
323	0.6716659028
324	0.6716659028
325	0.6716425941
326	0.6716287739
327	0.6716267862
328	0.6716257923
329	0.6716239701
330	0.6716291527
331	0.6716291546
332	0.6716148903
333	0.6716140625
334	0.6716054734
335	0.6715666794
336	0.6715549555
337	0.6715523039
338	0.6715468626
339	0.6715451079
340	0.671544335
341	0.6715282228
342	0.6715116123
343	0.6715111715
344	0.6714733126
345	0.6714734239
346	0.6714702449
347	0.6714492643
348	0.6714389145
349	0.6714264839
350	0.6714275918
351	0.6714257693
352	0.6714136311
353	0.6714133564
354	0.6714114789
355	0.6714046639
356	0.6714045211
357	0.6713966973
358	0.671381959
359	0.6713818497
360	0.6713582813
361	0.6713582813
362	0.6713267729
363	0.6713129338
364	0.6712811628
365	0.671269676
366	0.6712559285
367	0.6712551324
368	0.6712482539
369	0.6712348507
370	0.6712079964
371	0.6712070025
372	0.6712015757
373	0.6711939753
374	0.6711939753
375	0.6711751527
376	0.6711757069
377	0.6711691737
378	0.6711378957
379	0.6711245609
380	0.6711028214
381	0.6710915615
382	0.6710917278
383	0.6710757611
384	0.6710672778
385	0.6710672225
386	0.6710657987
387	0.6710491193
388	0.6710158085
389	0.671013084
390	0.6709914378
391	0.6709913281
392	0.6709849279
393	0.6709821652
394	0.6709682877
395	0.6709682877
396	0.6709682877
397	0.6709682877
398	0.6709506879
399	0.6709506687
400	0.6709428153
401	0.6709398645
402	0.6709372447
403	0.6709016786
404	0.6708920246
405	0.6708647848
406	0.6708450961
407	0.6708367802
408	0.6708367795
409	0.6708367795
410	0.6708367795
411	0.670811589
412	0.6708067705
413	0.6708040529
414	0.6708053813
415	0.6708003399
416	0.6707785646
417	0.6707769494
418	0.6707701376
419	0.6707556017
420	0.6707556017
421	0.670750613
422	0.6707433015
423	0.6707293994
424	0.6707005147
425	0.6706824367
426	0.6706801869
427	0.6706804644
428	0.6706520343
429	0.6706520343
430	0.6706521455
431	0.6706520343
432	0.6706523116
433	0.6706408113
434	0.6706343144
435	0.6706270418
436	0.6706270418
437	0.6706120013
438	0.6706119478
439	0.6706102892
440	0.6706097916
441	0.6706097923
442	0.6706072464
443	0.6705844934
444	0.6705792082
445	0.6705787666
446	0.6705610618
447	0.6705564381
448	0.6705198793
449	0.670518736
450	0.6704910231
451	0.6704631942
452	0.6704630837
453	0.6704581546
454	0.6704513079
455	0.6704403391
456	0.6704398972
457	0.6704319683
458	0.6704332952
459	0.6704332952
460	0.6704301085
461	0.6704285063
462	0.6704274565
463	0.67042218
464	0.6704141692
465	0.6703984729
466	0.6703904444
467	0.6703886759
468	0.6703865396
469	0.6703781401
470	0.6703766489
471	0.6703672945
472	0.6703728623
473	0.6703726975
474	0.6703639499
475	0.6703638953
476	0.6703625706
477	0.6703580933
478	0.6703550176
479	0.6703541894
480	0.6703466015
481	0.6703464365
482	0.6703461054
483	0.6703443367
484	0.6703382551
485	0.670318946
486	0.6703143969
487	0.670311175
488	0.6703112855
489	0.670307359
490	0.6703072495
491	0.6703031728
492	0.6702965757
493	0.6702937367
494	0.6702916931
